用   途   分   類,全   国,世 帯 数,全 都 市,人口五万以上の市,大 都 市,中 都 市,小都市Ａ,小都市Ｂ,町   村,北 海 道,東   北,関   東,北   陸,東   海,近   畿,中   国,四   国,九   州,沖   縄,京 浜 葉,中   京,京 阪 神,北九州･,札 幌 市,青 森 市,盛 岡 市,仙 台 市,秋 田 市,山 形 市,福 島 市,水 戸 市,宇都宮市,前 橋 市,浦 和 市,千 葉 市,東京都区部,横 浜 市,川 崎 市,新 潟 市,富 山 市,金 沢 市,福 井 市,甲 府 市,長 野 市,岐 阜 市,静 岡 市,名古屋市,津   市,大 津 市,京 都 市,大 阪 市,神 戸 市,奈 良 市,和歌山市,鳥 取 市,松 江 市,岡 山 市,広 島 市,山 口 市,徳 島 市,高 松 市,松 山 市,高 知 市,北九州市,福 岡 市,佐 賀 市,長 崎 市,熊 本 市,大 分 市,宮 崎 市,鹿児島市,那 覇 市
 世帯数分布(抽出率調整)     ,10000,...,7908,7289,2038,3192,2059,619,2092,457,763,3419,424,1146,1687,619,332,1056,97,2858,773,1522,330,139,25,22,75,25,20,23,20,35,23,38,71,634,277,96,39,26,34,20,16,29,33,38,174,13,22,115,212,120,30,34,11,11,49,90,10,21,27,36,25,85,95,13,35,50,33,24,43,24
 集計世帯数        ,7921,...,7361,6891,1511,4156,1224,470,560,293,808,2014,533,733,1071,668,469,1060,270,1392,425,1000,270,95,95,95,95,96,95,95,95,95,93,94,94,398,142,95,95,95,96,94,95,94,95,94,129,96,95,96,181,93,93,94,92,94,94,95,96,94,94,95,93,94,93,94,95,95,94,95,95,165
 世帯人員 (人)          ,3.31,...,3.26,3.25,3.15,3.23,3.38,3.42,3.5,3.03,3.58,3.26,3.6,3.44,3.26,3.29,3.23,3.25,3.45,3.23,3.42,3.27,3.25,3.18,3.49,3.2,3.34,3.21,3.55,3.42,3.27,3.46,3.1,3.25,3.2,3.13,3.19,3.04,3.56,3.46,3.39,3.6,3.03,3.27,3.21,3.36,3.18,3.16,3.25,3.37,3.16,2.96,3.29,3.13,3.63,3.23,3.22,3.09,3.01,3.36,3.3,3.18,3.09,3.04,3.29,3.19,2.99,3.22,3.15,2.9,3.08,3.56
　18歳未満人員 (人),0.74,...,0.73,0.73,0.66,0.72,0.8,0.77,0.78,0.69,0.95,0.68,0.77,0.71,0.74,0.73,0.78,0.81,1.05,0.67,0.67,0.74,0.76,0.72,0.9,0.81,0.76,0.83,0.8,0.76,0.88,0.77,0.69,0.69,0.67,0.65,0.6,0.53,0.9,0.72,0.67,0.97,0.61,0.72,0.59,0.76,0.59,0.63,0.73,0.81,0.7,0.55,0.74,0.71,0.9,0.81,0.8,0.75,0.61,0.87,0.87,0.87,0.78,0.63,0.84,0.72,0.7,0.83,0.83,0.71,0.77,1.08
　65歳以上人員 (人),0.53,...,0.52,0.51,0.52,0.49,0.53,0.65,0.59,0.5,0.62,0.5,0.59,0.51,0.55,0.62,0.53,0.55,0.4,0.46,0.51,0.53,0.56,0.41,0.55,0.51,0.44,0.44,0.71,0.71,0.41,0.49,0.56,0.46,0.48,0.51,0.52,0.51,0.56,0.56,0.66,0.55,0.63,0.49,0.63,0.48,0.52,0.58,0.38,0.56,0.53,0.62,0.44,0.61,0.62,0.54,0.43,0.43,0.51,0.49,0.47,0.38,0.4,0.67,0.44,0.51,0.62,0.52,0.4,0.41,0.56,0.35
　 うち無職者人員 (人),0.42,...,0.41,0.4,0.41,0.4,0.4,0.52,0.43,0.41,0.49,0.39,0.44,0.37,0.44,0.48,0.39,0.45,0.34,0.37,0.38,0.42,0.48,0.32,0.48,0.45,0.34,0.38,0.57,0.55,0.31,0.37,0.41,0.36,0.35,0.37,0.45,0.41,0.49,0.45,0.53,0.41,0.51,0.38,0.44,0.38,0.39,0.44,0.33,0.46,0.42,0.49,0.34,0.41,0.51,0.37,0.37,0.34,0.39,0.37,0.37,0.33,0.29,0.58,0.34,0.38,0.55,0.45,0.33,0.34,0.49,0.3
 有業人員 (人)          ,1.52,...,1.46,1.45,1.39,1.42,1.57,1.58,1.73,1.32,1.55,1.53,1.9,1.73,1.39,1.52,1.45,1.42,1.33,1.49,1.72,1.39,1.26,1.47,1.38,1.27,1.32,1.26,1.63,1.53,1.51,1.69,1.41,1.4,1.42,1.45,1.37,1.4,1.5,1.74,1.77,1.61,1.41,1.65,1.61,1.71,1.48,1.48,1.48,1.34,1.39,1.17,1.33,1.38,1.74,1.49,1.33,1.43,1.5,1.5,1.46,1.25,1.49,1.04,1.32,1.49,1.1,1.29,1.43,1.29,1.25,1.39
 世帯主の配偶者のうち女の有業率(％),37.4,...,35.2,34.4,30.8,32.8,40.3,44.9,45.9,35,36.2,36.1,52.3,45.5,31,40.6,39,37.9,28.2,33.9,44.7,30.4,25.1,36.6,28.5,26.6,19.1,26.9,46.5,39.2,42.2,36.8,33.9,26.8,26.9,32.5,28.7,31.8,36.3,42.4,47.6,37.9,37.2,45.5,44.6,50.1,34.5,38.8,37,26.5,33.2,22.6,22.1,34.6,45.8,40.3,30.3,38.4,44.4,37.2,36.2,27.6,42.3,15.6,26.4,40.3,24.5,28.6,37.4,34.4,29,28.9
 世帯主の年齢 (歳)       ,52.8,...,52.6,52.6,53.3,52.4,52.1,53.6,53.4,53.6,52.8,52.6,53.1,52.7,53,53.6,51.6,52.8,50.2,52.3,52.9,52.7,52.9,52.3,53.1,52.6,50.6,51.6,54,54.2,51,51.4,53.1,50.4,53.3,53.7,53.3,51.7,52.3,51.5,54.5,51.6,55.4,51.6,55.1,51.4,53.2,55.5,50.8,52.8,53,55.9,51.1,53.9,54.5,51.8,50.8,51.9,53.8,51.1,51.8,50.7,49.9,56,50.7,53.7,54.9,53.8,49.9,51.8,52.9,50.3
 持家率(％),76.2,...,73.6,72.6,68.1,72.9,76.6,84.9,86.1,73.6,81.1,74.9,88.1,80.8,74.6,75.8,75.6,72.5,61.8,72.9,79.9,73.4,67.1,64.6,72.5,64.6,63.8,72.9,80.8,76.7,62.3,72.2,78.7,62.4,75.6,67.1,74.9,59.3,68.9,84.2,83.7,75.9,73.5,74.4,81.9,73.9,72.7,89.8,84.1,72.3,64.5,78.4,72.5,82.5,77.8,61.8,60.8,64,71.8,71.9,70.6,61.4,66,68.9,53.1,60.4,68.3,54.5,63.5,59.6,70.6,58.7
