用   途   分   類,全   国,世 帯 数,全 都 市,人口五万以上の市,大 都 市,中 都 市,小都市Ａ,小都市Ｂ,町   村,北 海 道,東   北,関   東,北   陸,東   海,近   畿,中   国,四   国,九   州,沖   縄,京 浜 葉,中   京,京 阪 神,北九州･,札 幌 市,青 森 市,盛 岡 市,仙 台 市,秋 田 市,山 形 市,福 島 市,水 戸 市,宇都宮市,前 橋 市,さいたま市,千 葉 市,東京都区部,横 浜 市,川 崎 市,新 潟 市,富 山 市,金 沢 市,福 井 市,甲 府 市,長 野 市,岐 阜 市,静 岡 市,名古屋市,津   市,大 津 市,京 都 市,大 阪 市,神 戸 市,奈 良 市,和歌山市,鳥 取 市,松 江 市,岡 山 市,広 島 市,山 口 市,徳 島 市,高 松 市,松 山 市,高 知 市,北九州市,福 岡 市,佐 賀 市,長 崎 市,熊 本 市,大 分 市,宮 崎 市,鹿児島市,那 覇 市
 世帯数分布(抽出率調整)     ,10000,...,7908,7292,2034,3193,2065,617,2092,453,753,3399,422,1192,1660,621,335,1065,100,2676,803,1485,333,136,25,23,75,25,20,23,20,34,23,38,71,633,275,96,38,26,34,19,16,29,34,40,181,14,22,114,209,118,29,33,11,12,48,90,11,21,27,37,26,85,97,13,36,51,34,24,44,25
 集計世帯数        ,7908,...,7352,6884,1506,4158,1220,468,556,290,803,2014,534,731,1073,663,472,1063,266,1356,423,990,270,93,95,95,94,96,95,95,94,95,94,94,95,398,142,95,95,95,95,95,95,94,94,95,129,94,95,95,181,91,95,94,91,95,91,94,95,95,95,95,94,96,93,95,95,95,94,95,95,161
 世帯人員 (人)          ,3.24,...,3.2,3.19,3.11,3.16,3.32,3.34,3.39,2.97,3.53,3.19,3.48,3.38,3.18,3.23,3.16,3.19,3.41,3.18,3.38,3.18,3.23,3.06,3.31,3.28,3.27,3.17,3.49,3.28,3.03,3.28,3.17,3.3,3.14,3.14,3.12,3.11,3.29,3.35,3.4,3.42,2.98,3.22,3.41,3.42,3.27,2.96,3.42,3.34,3.02,2.96,3.18,3.19,3.3,3,3.08,3.08,2.93,3.24,2.99,3.09,3.15,2.72,3.21,3.12,3.12,3.17,3.09,3.17,3.1,3.48
　18歳未満人員 (人),0.7,...,0.7,0.7,0.65,0.69,0.76,0.71,0.7,0.68,0.77,0.66,0.77,0.72,0.67,0.74,0.7,0.72,0.98,0.65,0.73,0.66,0.73,0.73,0.84,0.83,0.79,0.69,0.81,0.88,0.63,0.72,0.73,0.85,0.56,0.67,0.6,0.6,0.77,0.68,0.86,0.78,0.49,0.72,0.8,0.77,0.66,0.51,0.81,0.74,0.58,0.47,0.74,0.58,0.77,0.7,0.73,0.72,0.61,0.7,0.69,0.78,0.79,0.47,0.86,0.66,0.78,0.8,0.76,0.82,0.87,1.09
　65歳以上人員 (人),0.58,...,0.55,0.54,0.57,0.55,0.51,0.68,0.67,0.57,0.74,0.54,0.64,0.58,0.56,0.65,0.56,0.54,0.43,0.52,0.56,0.54,0.49,0.46,0.46,0.52,0.55,0.56,0.64,0.59,0.63,0.54,0.64,0.44,0.63,0.57,0.6,0.41,0.56,0.56,0.54,0.6,0.64,0.7,0.52,0.6,0.71,0.69,0.53,0.6,0.58,0.66,0.51,0.76,0.68,0.53,0.59,0.39,0.63,0.63,0.64,0.42,0.52,0.7,0.4,0.66,0.6,0.62,0.39,0.39,0.44,0.44
　 うち無職者人員 (人),0.46,...,0.44,0.44,0.44,0.46,0.41,0.51,0.53,0.5,0.59,0.43,0.5,0.45,0.45,0.55,0.43,0.47,0.34,0.41,0.44,0.43,0.41,0.41,0.4,0.46,0.44,0.51,0.52,0.47,0.53,0.47,0.54,0.3,0.53,0.41,0.45,0.35,0.5,0.43,0.4,0.45,0.5,0.57,0.38,0.45,0.54,0.55,0.43,0.46,0.43,0.51,0.41,0.61,0.52,0.43,0.53,0.32,0.45,0.49,0.46,0.38,0.42,0.62,0.35,0.5,0.53,0.55,0.33,0.32,0.4,0.37
 有業人員 (人)          ,1.45,...,1.41,1.39,1.35,1.35,1.5,1.59,1.6,1.21,1.58,1.45,1.68,1.61,1.33,1.36,1.48,1.39,1.39,1.43,1.58,1.34,1.29,1.31,1.36,1.33,1.27,1.29,1.61,1.4,1.25,1.46,1.26,1.42,1.34,1.44,1.33,1.48,1.26,1.78,1.55,1.64,1.51,1.41,1.73,1.62,1.36,1.31,1.41,1.36,1.34,1.28,1.24,1.28,1.55,1.32,1.19,1.4,1.41,1.45,1.34,1.19,1.46,0.95,1.21,1.39,1.17,1.13,1.29,1.44,1.19,1.29
 世帯主の配偶者のうち女の有業率(％),35.3,...,33.6,32.7,30.5,31.4,36.8,44.1,42,29.7,40.2,34,43.6,42.1,29.1,33.7,41.4,37,32.1,32.6,40.4,28.8,27.6,30.6,31,30.7,21.2,31.9,37.9,40.1,26,35.7,24.2,33.3,27,31.8,28,33.2,26.3,49.8,42.6,41.8,43,37.4,46.4,41,30.3,34.5,34.4,35.2,33.9,24.3,22.2,26.1,39.8,36.4,25.8,36.9,41.7,38.9,34.7,22.6,43.4,20.2,24.1,33.5,25,24.6,32.2,36.6,28.9,26.1
 世帯主の年齢 (歳)       ,53.8,...,53.6,53.6,54.1,53.6,53,54.4,54.4,53.9,54.3,53.7,53.6,53.2,54.1,54.3,53.8,54.1,50.4,53.5,53,54.1,52.9,51.7,52.4,54.5,51,53.8,53.3,53.7,54.3,52.1,54.3,49.7,55.7,53.8,55,50.2,53.3,53.3,51.9,52.6,56.6,54.3,51.6,52.2,56,56,52,54.7,54.6,57.1,53.1,56.8,54.8,52.4,52.3,52,55.5,54.1,54.7,52.4,52.9,57.7,51.3,55.4,55.3,54.7,49.7,51.1,52.1,50.1
 持家率(％),76.7,...,74.2,73.4,68.7,74.7,76,83.9,85.9,68.5,81.1,77.1,81.7,80.4,75.9,75.6,77.6,72.5,59.3,75.7,80.8,74.7,62.9,61.9,76.1,67.8,61.6,81.5,70.6,74,67.5,75.9,80.9,70.7,85,64.6,80.3,63.2,74,90,77.7,77.1,81.5,80.4,68.4,69.4,80.5,86.1,83.6,81.3,64.5,78.5,72.8,87.6,72.5,62.9,61.9,57.5,80,77,78.5,65.9,62.7,64.4,52.4,69.2,67.5,61.7,63.3,59,58.6,55.1
　  平均畳数,40.5,...,39.4,38.6,34.6,39.2,41.3,47.5,44.2,42.5,45.3,37.3,49.7,44.4,39.9,40.6,42.7,38.8,33.4,35.5,44,39.7,38.7,41.3,43.1,39.1,37.1,42.4,46.1,43.3,41.7,42.9,39.9,36.3,36.4,31.6,33.9,30,40.1,48.2,43,45.5,42.1,44.9,44,40.5,40,40.8,43.1,36.3,35.1,32.8,41.4,38.1,44.4,42.5,43.8,37,44,44.8,37.1,36.9,39.1,36.7,34.7,44.4,34.7,42.6,41.3,36.3,38.6,34.5
　 うち住宅ローンを支払っている世帯の割合(％),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
　　平均畳数,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
 家賃・地代を支払っている世帯の割合(％) ,21.5,...,23.9,24.7,29.2,23.3,22.3,14.1,12.4,30.9,18.7,20.6,17.3,18.8,21.8,21.2,21.5,24.9,38.4,22,18.4,22.5,33.5,37.2,22.3,27.9,38.1,17.3,29.2,29.4,36.1,21.5,16,27.5,13,32.4,19.4,36.6,25.2,10.2,20.9,20.4,16.1,17.9,35.3,30.9,19.7,12.6,13,15.9,33,20.9,24.8,13,21.1,34.7,32.1,38,20.3,21.5,21.8,31.8,34.7,32.7,42.5,28.8,36.5,34.3,34.8,36.9,39.1,40.6
　  平均畳数,22.4,...,22.2,22,21.6,22.2,22.4,24.7,24.4,27.7,25.7,20.6,23,22.5,22.5,21.8,23.7,23,18.6,20.2,21.8,21.9,22.7,26.7,27.7,24.3,21.3,22.5,22.5,24.3,22.7,24.1,22.2,22.5,19.8,19.6,21.4,19.5,24,24.1,26.4,26.4,22.1,23.6,23.5,22.8,24.6,22.9,24.3,26.4,20.8,24.1,21.6,26.2,17.3,24,22.3,21.3,28,24.6,23.2,20.9,23.8,22.4,22.5,24.2,22.8,25.3,24,20.4,21.4,19
 農林漁家世帯の割合(％),2.9,...,1.5,0.7,0,0.4,2,10.3,8.2,0.3,10.7,1.3,9.2,1.8,1.7,4.1,4.6,2.7,1.1,0.9,0.8,1.1,1,0,0,0,0,0,0.7,0.9,0,0,1.7,0,0.6,0,0,0,0,0.6,0,1.2,2.5,3.9,0.6,0.3,0,1,1.6,0,0,0,1,0.6,8.2,1.2,0.9,0,7.6,3.6,2.3,0,0,0,0,0,0,0,0.1,0.8,0,0
消費支出,305953,10000,308035,310067,315255,309243,306234,284021,298111,279082,294310,320175,313997,308444,299352,300319,319051,291949,218610,324476,302436,301183,300698,294738,268111,281931,321736,325143,322642,335505,309075,320635,299675,343375,338603,333602,321198,300242,311905,392424,365450,288399,321052,335161,296258,312028,289058,330923,323610,340121,293805,294354,296788,284980,254642,323660,330172,347460,324267,322040,318362,283620,312695,277099,317487,324758,270546,286301,325960,286484,309734,235837
食料,71210,10000,72406,73002,76259,71758,71717,65351,66688,62248,68217,75312,71771,72715,73483,67224,65797,64285,53579,77284,72207,74083,69092,64768,68134,67182,71310,72903,74250,68512,65702,72221,68184,73763,79214,79764,78858,73884,74017,74817,79034,71868,71848,68565,67940,74763,75495,68680,78427,87005,75335,75258,67963,70362,66134,68341,67255,71288,67137,68182,67233,64000,71256,64843,71131,67909,67070,65080,65599,65900,64424,55800
穀類,6874,9972,6962,7036,7242,6947,6972,6079,6540,6437,6002,7017,7047,7334,7411,6587,6373,6238,5633,7201,7243,7466,6958,6528,6453,6602,6096,5792,7010,5949,5544,6384,6647,6770,7399,7050,7510,7358,7230,7339,7859,6769,6741,6467,6726,8240,7676,6115,7501,8303,7372,7794,6962,7557,6201,6220,6121,6795,6108,6719,6306,6805,6510,6476,6698,6084,7523,6451,6129,5809,6362,5773
米,2941,5546,2964,2994,3075,2952,2980,2616,2853,3207,2619,2933,3127,3301,3015,2585,2409,2883,2730,3005,3088,3030,3286,3200,2553,2868,2375,2252,3158,2533,2314,2415,2930,2660,2974,2908,3209,3022,3290,3053,3146,2947,2872,2803,2953,4281,3483,2496,2772,3406,3118,3046,2895,3406,2361,2312,2039,2460,2428,2643,2225,2756,2664,3266,2846,2934,3546,3048,2525,2458,2886,2606
パン,2204,9639,2253,2292,2402,2280,2202,1799,2019,1658,1715,2266,2135,2265,2676,2278,2180,1831,1646,2360,2361,2704,2005,1685,1998,2054,2058,1706,1806,1819,1784,2286,1987,2344,2578,2365,2406,2530,2265,2397,2822,2094,2041,1817,2159,2248,2355,2022,2891,3059,2513,3037,2470,2513,2070,2220,2314,2610,2116,2445,2174,2267,2117,1786,2156,1701,2452,2057,2092,1815,1969,1903
めん類,1396,9431,1406,1410,1396,1386,1460,1355,1360,1247,1400,1466,1408,1437,1374,1401,1482,1224,1004,1476,1453,1380,1323,1315,1645,1409,1412,1564,1710,1330,1117,1372,1428,1420,1447,1404,1500,1471,1375,1458,1479,1304,1450,1495,1293,1350,1455,1279,1520,1444,1354,1352,1323,1325,1483,1355,1491,1446,1261,1281,1572,1440,1439,1055,1316,1145,1213,1069,1226,1280,1186,963
他の穀類,332,5397,338,341,370,329,331,309,308,326,267,352,377,331,346,323,301,301,253,360,342,352,343,327,256,270,251,271,336,268,329,311,302,346,400,373,396,335,299,430,412,424,378,352,321,361,383,318,318,394,386,359,273,312,287,332,277,279,303,351,335,342,290,369,380,304,311,277,286,257,321,301
魚介類,8126,9954,8148,8125,8232,8132,8009,8417,8043,7591,8838,8193,8760,7970,8572,7980,7604,7489,4174,8286,7583,8653,7904,7472,9255,7593,7983,9556,8498,7844,7200,7481,7336,7216,9578,8173,8822,7806,7563,9945,9400,7879,9343,7572,6409,8549,8018,8483,8743,9472,8544,8476,7893,9552,8314,7036,7313,7397,8857,7687,7286,7401,9160,8764,6717,8275,8074,6785,7003,6847,6886,4396
生鮮魚介,5174,9745,5190,5177,5296,5176,5060,5338,5115,4486,5446,5091,5649,5001,5635,5432,4896,4990,2758,5206,4703,5726,5268,4628,5547,4441,4990,5847,5201,4560,4315,4387,4269,4653,6246,5141,5688,4928,4438,6578,6500,4931,5321,4284,4065,5258,5179,5491,5430,6025,5714,5616,4834,6457,5364,4463,4902,5012,6039,4891,4930,4819,5824,5970,4250,5562,5368,4615,4700,4386,4752,2932
塩干魚介,1378,8642,1386,1384,1406,1406,1328,1410,1347,1448,1694,1495,1515,1299,1373,1120,1186,1110,230,1500,1221,1372,1253,1269,2009,1667,1381,1895,1589,1598,1431,1455,1468,1287,1633,1480,1579,1393,1514,1418,1243,1464,1914,1514,1026,1502,1204,1394,1639,1798,1329,1284,1578,1579,1516,1123,1161,1039,1350,1272,1039,1083,1740,1481,1147,1107,997,1067,1021,1107,823,276
魚肉練製品,732,8492,726,724,699,715,761,759,753,596,648,646,650,820,830,859,965,795,327,651,847,823,809,574,550,531,756,486,664,619,554,662,578,513,684,617,674,634,561,689,713,740,676,678,610,848,816,808,773,725,818,892,754,907,817,841,683,746,879,966,815,1003,961,769,689,1033,1168,626,782,704,664,386
他の魚介加工品,842,7857,846,841,831,835,860,910,827,1062,1049,960,945,850,734,568,556,593,859,929,812,732,574,1000,1148,954,856,1328,1044,1067,900,978,1021,762,1016,935,882,851,1049,1260,943,744,1431,1096,709,940,819,790,900,923,683,685,727,609,617,609,566,600,589,557,503,495,635,544,631,572,541,478,499,649,648,803
肉類,6039,9879,6081,6129,6388,5983,6101,5506,5882,4707,5158,5792,5613,5838,7276,6124,6173,6517,4733,5988,6054,7366,6862,5033,5720,4751,5452,5516,6088,5080,4568,4858,3991,5971,5766,6077,6338,5971,5053,5773,6352,6319,5316,4391,6090,5912,6138,6437,8209,7805,6989,7340,6647,8241,5809,5417,5730,6889,6035,6647,5886,6104,5698,6154,6949,6264,6725,6693,6509,5913,6589,4970
生鮮肉,4809,9760,4848,4890,5153,4775,4810,4354,4658,3431,3968,4489,4371,4555,6070,5032,5149,5381,3578,4671,4740,6152,5664,3780,4339,3618,4315,4272,4866,3836,3477,3699,2956,4618,4486,4835,5020,4664,3904,4450,5036,4922,4177,3211,4825,4590,4856,5223,6745,6392,5911,6191,5457,7157,4663,4409,4716,5644,4823,5664,4907,5071,4783,5113,5772,5148,5396,5575,5294,4837,5520,3726
加工肉,1231,8710,1232,1239,1235,1208,1291,1152,1224,1276,1191,1303,1242,1283,1207,1092,1024,1136,1155,1318,1314,1214,1197,1252,1381,1132,1137,1244,1222,1244,1091,1159,1035,1353,1280,1242,1318,1307,1149,1323,1316,1396,1139,1179,1265,1322,1281,1214,1463,1412,1078,1149,1189,1085,1147,1008,1015,1246,1213,983,978,1033,915,1042,1177,1116,1329,1118,1216,1076,1069,1244
乳卵類,3619,9958,3643,3665,3686,3652,3665,3375,3531,2908,3879,3748,3842,3554,3781,3600,3372,3221,2906,3805,3496,3781,3328,2974,3051,4138,4044,3533,3990,3979,3804,3596,3669,3994,3997,3778,3968,3523,4110,3681,3561,3839,3459,4111,3187,3416,3641,3725,4056,4494,3470,3986,3588,3391,3581,3826,3277,3480,3756,3684,3664,3458,3413,2934,3537,3227,3198,3522,3344,3192,3398,3233
牛乳,1726,8951,1721,1716,1671,1726,1746,1783,1746,1337,1865,1691,1984,1662,1865,1827,1686,1643,1436,1712,1642,1876,1616,1269,1394,1961,1874,1638,1862,1656,1803,1637,1739,1757,1902,1675,1758,1463,1953,1770,1656,1874,1447,1924,1491,1541,1684,1838,1930,2275,1617,1818,1749,1741,1892,2062,1665,1643,2016,2054,2073,1630,1499,1413,1621,1674,1497,1790,1596,1565,1729,1643
乳製品,1186,8649,1210,1233,1289,1218,1200,943,1097,1015,1293,1358,1104,1180,1125,1081,1055,909,843,1377,1126,1110,944,1120,1045,1437,1423,1312,1410,1486,1412,1393,1314,1532,1392,1403,1473,1326,1421,1292,1116,1208,1285,1479,1041,1216,1254,1143,1273,1367,1076,1351,1048,898,1076,1167,1063,1083,1124,1079,1015,1068,1148,833,1181,939,1055,1018,1010,1011,1036,938
卵,706,9456,711,716,726,709,719,649,689,556,721,698,753,712,792,692,631,668,627,716,729,796,768,585,613,739,748,583,718,837,589,566,616,706,702,700,737,734,736,619,789,758,727,707,655,659,702,744,853,853,776,817,791,753,613,597,548,754,616,550,575,761,766,688,735,613,646,714,738,616,632,652
