用   途   分   類,全   国,世 帯 数,人口５万以上の市,大 都 市,中 都 市,小都市Ａ,小都市Ｂ,北 海 道,東   北,関   東,北   陸,東   海,近   畿,中   国,四   国,九   州,沖   縄,関   東_1,中   京,近   畿_1,北九州・,札 幌 市,青 森 市,盛 岡 市,仙 台 市,秋 田 市,山 形 市,福 島 市,水 戸 市,宇都宮市,前 橋 市,さいたま市,千 葉 市,東京都区部,横 浜 市,新 潟 市,富 山 市,金 沢 市,福 井 市,甲 府 市,長 野 市,岐 阜 市,静 岡 市,名古屋市,津   市,大 津 市,京 都 市,大 阪 市,神 戸 市,奈 良 市,和歌山市,鳥 取 市,松 江 市,岡 山 市,広 島 市,山 口 市,徳 島 市,高 松 市,松 山 市,高 知 市,福 岡 市,佐 賀 市,長 崎 市,熊 本 市,大 分 市,宮 崎 市,鹿児島市,那 覇 市,川 崎 市,浜 松 市,堺   市,北九州市
 世帯数分布(抽出率調整)    ,10000,...,8305,2562,3241,2502,1695,429,723,3536,425,1141,1654,605,319,1069,100,2901,739,1414,378,143,25,23,76,26,19,23,21,39,26,97,77,643,294,63,34,34,21,16,30,32,56,169,23,26,111,198,122,30,31,15,15,54,91,15,21,34,41,26,105,16,37,53,38,31,50,24,105,61,68,83
 集計世帯数        ,7817,...,7331,2119,4196,1017,486,280,787,2016,521,737,1071,633,469,1036,267,1371,388,909,287,95,94,95,95,95,95,94,95,94,93,94,95,386,140,94,95,96,94,93,95,95,95,129,80,92,95,158,88,94,93,94,93,79,92,94,95,95,95,93,92,94,94,95,95,93,93,163,94,94,92,93
 世帯人員(人)         ,3.09,...,3.06,3.05,3.05,3.09,3.21,2.87,3.32,3.04,3.33,3.2,3.03,3.08,2.99,3.08,3.24,3.03,3.2,3.06,2.99,3.01,3.25,3.23,3.05,3,3.32,3.22,3.07,3.11,2.99,3.13,3.07,3.04,3.02,3.32,3.33,3.2,3.3,3.08,3.02,3.03,3.2,3.04,2.96,3.06,3.03,3.09,3.02,2.99,2.87,3.35,3.27,3.19,2.87,3.25,3.06,2.93,2.94,2.92,2.96,3.15,2.94,3.2,3.12,3.09,3.06,3.26,3.25,3.07,3.05,2.89
　18歳未満人員(人),0.63,...,0.63,0.6,0.64,0.64,0.64,0.56,0.69,0.61,0.68,0.61,0.6,0.65,0.58,0.69,0.87,0.6,0.62,0.62,0.58,0.63,0.68,0.75,0.55,0.65,0.8,0.66,0.7,0.6,0.57,0.61,0.54,0.61,0.57,0.72,0.74,0.64,0.57,0.67,0.64,0.62,0.68,0.53,0.59,0.63,0.57,0.68,0.62,0.58,0.48,0.81,0.79,0.74,0.42,1.04,0.63,0.64,0.68,0.69,0.62,0.72,0.59,0.7,0.75,0.77,0.77,0.87,0.81,0.54,0.49,0.54
　65歳以上人員(人),0.68,...,0.65,0.66,0.63,0.67,0.79,0.62,0.81,0.66,0.8,0.66,0.68,0.68,0.66,0.65,0.57,0.64,0.66,0.67,0.63,0.55,0.65,0.64,0.79,0.64,0.63,0.78,0.57,0.75,0.83,0.7,0.73,0.62,0.62,0.78,0.78,0.7,0.83,0.75,0.62,0.84,0.79,0.75,0.67,0.64,0.7,0.65,0.68,0.59,0.78,0.6,0.65,0.59,0.7,0.5,0.57,0.64,0.58,0.53,0.54,0.54,0.62,0.66,0.57,0.57,0.59,0.53,0.48,0.71,0.8,0.72
　 うち無職者人員(人),0.55,...,0.53,0.53,0.52,0.55,0.63,0.53,0.62,0.53,0.64,0.52,0.56,0.56,0.5,0.53,0.48,0.52,0.51,0.55,0.53,0.5,0.61,0.57,0.65,0.53,0.53,0.6,0.41,0.58,0.69,0.6,0.61,0.45,0.54,0.69,0.64,0.48,0.64,0.59,0.49,0.63,0.59,0.57,0.56,0.58,0.52,0.54,0.58,0.5,0.65,0.49,0.49,0.45,0.58,0.42,0.41,0.51,0.5,0.43,0.44,0.44,0.55,0.52,0.48,0.5,0.5,0.44,0.37,0.62,0.69,0.58
 有業人員(人)         ,1.36,...,1.33,1.32,1.31,1.37,1.49,1.16,1.53,1.32,1.57,1.48,1.26,1.38,1.45,1.32,1.29,1.31,1.44,1.28,1.26,1.18,1.26,1.31,1.17,1.27,1.58,1.41,1.44,1.38,1.27,1.31,1.33,1.39,1.3,1.39,1.53,1.66,1.57,1.41,1.32,1.36,1.39,1.26,1.32,1.17,1.32,1.35,1.23,1.14,1.14,1.51,1.61,1.48,1.27,1.32,1.52,1.21,1.11,1.36,1.32,1.45,1.24,1.32,1.32,1.3,1.24,1.28,1.36,1.46,1.35,1.17
 世帯主の配偶者のうち女の有業率(％),34.4,...,32.8,30.2,31.9,36.6,42.4,25.6,40.4,32.3,44.9,38.8,30.7,35.1,41.3,35.4,33.1,31.3,35.8,31.1,29.2,22.3,23.8,34.9,22.9,31.5,48.8,33.9,40.3,36.5,35.8,28.5,32.4,32.2,26.6,40.7,37.5,49.1,42,39.4,35.3,35.8,33.3,26,36.5,29,29.6,33.1,32.2,22,27.3,42.8,50.8,34.2,25,36.1,40.6,29.1,25.7,41.8,35,40.1,30.1,31.9,30.3,34.8,32.2,28.9,28.8,44.6,28.7,28
 世帯主の年齢(歳)      ,56.3,...,56.1,56.3,55.9,56.2,57.1,56.6,57.5,56.1,56.4,55.6,56.7,56.1,56.8,56,54.5,56,55.6,56.4,57.2,56,55.9,55.6,57,55.6,53.5,57.6,56.7,56,58.3,56.8,57.3,55.3,56.4,57.1,54.4,54.7,58.8,56.3,56.4,57.9,57.5,58.2,57.4,56.7,57.7,55,56.7,56.8,59,54.8,55.9,54.5,58.1,51.9,53.6,55.2,55.8,54.2,54.9,55.4,55.9,55.7,53.7,54.8,53.4,53.4,52.5,56.9,58.4,58.9
 持家率(％),79.7,...,78.8,76.1,79.6,80.6,84,76.3,83,79.9,88.3,83.4,81.7,76.1,84,69.9,63.4,79.1,82.8,80.6,66.8,74.5,77.2,64,83.2,89.1,72.6,81.9,77.2,87.1,88.6,79.9,85,75.6,70.9,87.3,86,84.7,92.5,82.9,80.6,81,82.1,81.5,89.3,86.8,80.6,69.7,86.3,78.5,83.3,68,71.8,73.1,75.1,78.5,67.8,74.2,71.5,73.6,58.3,70.7,69.2,74.1,65.4,64.4,76.3,56.9,72.2,80.9,88.8,66.7
