用   途   分   類,全   国,世 帯 数,人口５万以上の市,大 都 市,中 都 市,小都市Ａ,小都市Ｂ,北 海 道,東   北,関   東,北   陸,東   海,近   畿,中   国,四   国,九   州,沖   縄,関   東_1,中   京,近   畿_1,北九州・,札 幌 市,青 森 市,盛 岡 市,仙 台 市,秋 田 市,山 形 市,福 島 市,水 戸 市,宇都宮市,前 橋 市,さいたま市,千 葉 市,東京都区部,横 浜 市,新 潟 市,富 山 市,金 沢 市,福 井 市,甲 府 市,長 野 市,岐 阜 市,静 岡 市,名古屋市,津   市,大 津 市,京 都 市,大 阪 市,神 戸 市,奈 良 市,和歌山市,鳥 取 市,松 江 市,岡 山 市,広 島 市,山 口 市,徳 島 市,高 松 市,松 山 市,高 知 市,福 岡 市,佐 賀 市,長 崎 市,熊 本 市,大 分 市,宮 崎 市,鹿児島市,那 覇 市,川 崎 市,相模原市,浜 松 市,堺   市,北九州市
 世帯数分布(抽出率調整)    ,10000,...,8423,2781,3148,2494,1577,443,685,3622,401,1172,1655,589,305,1022,105,2947,758,1448,369,151,23,22,76,25,19,22,21,40,27,100,79,671,300,62,32,34,20,16,31,32,56,172,23,27,111,197,123,30,30,15,16,54,91,15,20,32,40,26,106,18,35,57,38,32,48,25,110,58,62,68,77
 集計世帯数        ,7784,...,7301,2323,3968,1010,483,277,777,2046,521,719,1044,636,467,1032,265,1406,366,979,288,94,95,95,93,93,94,94,94,94,92,94,93,386,129,94,95,96,95,91,94,95,96,106,83,92,94,128,92,95,93,93,92,88,91,94,93,94,94,92,90,95,94,95,95,91,94,161,92,90,93,93,93
 世帯人員(人)         ,3.05,...,3.05,3.02,3.04,3.1,3.07,2.84,3.24,3.01,3.27,3.18,3.02,3.02,2.96,3.02,3.22,3.01,3.14,3.03,2.95,2.91,3.17,3.15,2.97,2.95,3.29,2.98,2.92,3.06,3,3.05,2.89,2.97,3.04,3.18,3.2,3.24,3.37,3.15,2.91,3.14,3.08,3,3.13,3.04,3.11,3.1,2.92,3.04,2.99,3.29,3.11,3.11,2.88,3.11,3.14,2.93,3.11,2.99,3.13,3.1,3,3.09,3.02,3.01,3.14,3.34,3.09,3.09,3.36,3.01,2.82
　18歳未満人員(人),0.59,...,0.59,0.57,0.61,0.6,0.57,0.55,0.54,0.57,0.71,0.64,0.57,0.59,0.61,0.62,0.88,0.56,0.64,0.56,0.58,0.58,0.62,0.64,0.56,0.54,0.69,0.55,0.64,0.71,0.6,0.66,0.49,0.53,0.55,0.56,0.6,0.77,0.66,0.71,0.56,0.72,0.53,0.52,0.59,0.75,0.54,0.64,0.48,0.55,0.59,0.69,0.69,0.75,0.53,0.7,0.69,0.58,0.84,0.61,0.78,0.62,0.58,0.65,0.6,0.71,0.82,0.83,0.64,0.65,0.81,0.61,0.44
　65歳以上人員(人),0.76,...,0.75,0.73,0.74,0.79,0.79,0.71,0.9,0.78,0.7,0.72,0.79,0.69,0.67,0.71,0.53,0.76,0.72,0.78,0.73,0.59,0.66,0.82,0.82,0.84,0.82,0.68,0.73,0.62,0.71,0.63,1.02,0.71,0.75,0.87,0.74,0.58,0.81,0.8,0.77,0.84,0.89,0.81,0.78,0.64,0.91,0.63,0.91,0.75,0.7,0.72,0.78,0.52,0.74,0.71,0.7,0.77,0.53,0.57,0.59,0.79,0.79,0.61,0.64,0.63,0.49,0.6,0.53,0.68,0.71,0.84,0.85
　 うち無職者人員(人),0.61,...,0.61,0.59,0.6,0.63,0.61,0.6,0.7,0.62,0.58,0.57,0.64,0.56,0.48,0.57,0.44,0.62,0.58,0.64,0.62,0.47,0.59,0.7,0.74,0.69,0.7,0.56,0.6,0.49,0.57,0.5,0.88,0.54,0.63,0.72,0.58,0.43,0.62,0.62,0.6,0.67,0.73,0.64,0.71,0.56,0.73,0.47,0.78,0.68,0.57,0.54,0.64,0.39,0.65,0.56,0.51,0.61,0.49,0.46,0.48,0.67,0.66,0.55,0.5,0.53,0.42,0.54,0.46,0.58,0.56,0.67,0.73
 有業人員(人)         ,1.34,...,1.31,1.3,1.29,1.35,1.47,1.16,1.53,1.29,1.57,1.45,1.24,1.37,1.46,1.32,1.37,1.27,1.39,1.25,1.19,1.26,1.33,1.28,1.12,1.22,1.54,1.42,1.21,1.39,1.38,1.34,1.05,1.36,1.26,1.45,1.62,1.57,1.68,1.4,1.42,1.29,1.35,1.33,1.36,1.1,1.28,1.39,1.2,1.13,1.18,1.6,1.35,1.36,1.18,1.39,1.42,1.33,1.1,1.47,1.34,1.31,1.25,1.33,1.43,1.25,1.34,1.33,1.3,1.32,1.56,1.14,1.14
 世帯主の配偶者のうち女の有業率(％),35.4,...,34,32.8,33.7,35.9,42.9,32.6,39.2,33,46,40.3,30.6,38.1,43.3,36.8,35.8,31.6,38.2,29.4,30.9,33.3,30.4,29,26,28.1,45,39.8,32.1,40.8,42.2,33.3,23.6,33.8,30.1,39.2,43.8,42.2,45.5,36.6,41,36.8,36.1,32.4,40.7,24.3,31.3,32.3,30.7,26.2,25.5,42.7,41.6,36.4,31.8,43.9,42.7,36.2,26,46.3,38.8,36.3,33.6,36.1,38.3,35.9,41.2,31.1,29.8,39.8,43.9,28,30.4
 世帯主の年齢(歳)      ,57.9,...,57.8,57.6,57.6,58.4,58.3,58.4,59.3,58.1,55.6,57.1,58.6,57.3,57.4,57.7,54.2,58.2,57.3,58.6,57.9,56.6,58.3,59.9,59.8,59.9,58.9,59.4,57.2,56.3,56.7,55.5,61.4,57.2,58.1,58.2,55.7,53.8,57.6,57.8,58.1,57.4,60.8,58.6,58.6,56.2,61.5,56,60,58.9,58.1,56.7,58.4,53.8,58.9,57.3,56.8,57.5,54.2,55.7,54.1,59.5,59.6,55.6,57,56.5,55,55.8,54.9,56.5,55.6,59,60.9
 持家率(％),83.5,...,82.9,79.7,81.6,88.1,86.9,80.3,85.5,83.8,85.8,87.3,86.7,79.9,82.6,76.6,62.6,83,86.5,86,72.1,77.4,80.9,82,82.4,81.1,79.9,78.1,82.9,75.7,77.7,88.1,89.9,74.9,81,86.9,88,81.1,88.5,76.2,79.7,89.8,89.6,83.4,91.3,93.3,90.4,77.2,87.2,91.9,92.2,81.6,78.9,73.6,76.2,87.3,70.5,82,73.2,69.7,57.5,77.3,77.1,72,71.2,70.2,73.5,62.3,73.3,89.8,84,92.8,85.3
