用   途   分   類,全   国,世 帯 数,人口五万以上の市,大 都 市,中 都 市,小都市Ａ,小都市Ｂ,北 海 道,東   北,関   東,北   陸,東   海,近   畿,中   国,四   国,九   州,沖   縄,関   東_1,中   京,近   畿_1,北九州・,札 幌 市,青 森 市,盛 岡 市,仙 台 市,秋 田 市,山 形 市,福 島 市,水 戸 市,宇都宮市,前 橋 市,さいたま市,千 葉 市,東京都区部
 世帯数分布(抽出率調整)    ,10000,...,8441,2796,3164,2481,1559,431,677,3675,400,1172,1636,589,301,1012,106,2889,760,1437,367,152,23,22,75,25,19,21,22,41,28,101,80,679
 集計世帯数        ,7708,...,7232,2260,3961,1011,477,279,779,2012,520,718,1026,636,464,1015,259,1352,363,963,282,94,94,94,93,95,95,94,92,92,93,93,93,361
 世帯人員(人)         ,2.98,...,2.96,2.96,2.96,2.97,3.07,2.76,3.13,2.95,3.21,3.05,2.94,2.97,2.89,2.98,3.13,2.95,3.03,2.95,3.07,2.98,3.08,3.14,2.93,2.94,3.32,3.02,2.87,2.78,2.88,3.02,2.94,2.93
　18歳未満人員(人),0.55,...,0.54,0.54,0.55,0.53,0.57,0.46,0.57,0.52,0.6,0.58,0.51,0.58,0.59,0.6,0.82,0.51,0.57,0.52,0.7,0.62,0.48,0.67,0.49,0.53,0.71,0.52,0.53,0.49,0.54,0.58,0.46,0.5
　65歳以上人員(人),0.86,...,0.84,0.83,0.83,0.88,0.93,0.88,0.98,0.84,0.87,0.79,0.9,0.87,0.73,0.86,0.76,0.84,0.78,0.9,0.81,0.71,0.9,0.8,0.91,0.88,0.82,0.97,0.77,0.83,0.92,0.84,1.1,0.82
　 うち無職者人員(人),0.68,...,0.67,0.65,0.67,0.69,0.72,0.71,0.81,0.66,0.68,0.6,0.73,0.7,0.57,0.68,0.67,0.67,0.59,0.73,0.64,0.56,0.73,0.65,0.74,0.7,0.59,0.73,0.6,0.64,0.71,0.72,0.97,0.6
 有業人員(人)         ,1.32,...,1.3,1.3,1.29,1.32,1.43,1.18,1.42,1.31,1.6,1.43,1.2,1.29,1.34,1.34,1.19,1.29,1.38,1.19,1.3,1.31,1.45,1.37,1.27,1.29,1.72,1.39,1.27,1.22,1.26,1.3,1.09,1.34
 世帯主の配偶者のうち女の有業率(％),35.6,...,34.5,33.5,34.3,36,41.8,29.4,37,35,44.7,40.3,29.5,36.9,41.1,39.1,29.1,33.8,37.1,28,35.7,31.6,35,36.5,28.9,30.3,49.4,33.2,37.8,34.6,32.7,36.8,30.5,32.9
 世帯主の年齢(歳)      ,59.6,...,59.5,59.5,59.2,60,59.8,61.2,60.4,59.8,59.1,58.2,60.3,59,57.7,59.3,57.7,59.8,58.6,60.2,58.2,59.1,61.1,57.7,58.8,59.9,57.5,61.1,58.4,58.6,59,59.9,63.5,59.8
 持家率(％),86.1,...,85.7,82.7,85.7,89.3,88,81.6,83.6,87.2,91.7,89.3,88,81.1,79.3,83.7,64.7,86.4,88.5,87.6,82.6,79.3,83.7,79.1,71.6,84.1,81.7,86.9,84.5,81.9,87.5,85.9,97.1,80.4
　  平均畳数,39.9,...,39.4,36.6,39.7,41.9,42.6,41.6,46.2,37.1,46.9,45.1,39.4,39.7,40.3,37.8,32.6,35.7,44.6,39.7,36.9,39.8,47.9,39.8,39.5,43.3,44.6,44.6,40.8,43.6,38.5,37.3,35.7,33.8
　 うち住宅ローンを支払っている世帯の割合(％),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
　　平均畳数,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
 家賃・地代を支払っている世帯の割合(％),13.1,...,13.4,16.1,13.6,10.3,11.2,19.1,14.5,12.3,8.9,10.7,11.1,15.1,19.6,14.9,33.7,12.7,11.6,11.6,15.8,20.5,15.6,20.1,24.6,16.4,19,12.5,16.5,16.6,9.7,14.4,4.9,18.2
　平均畳数,25.1,...,25.1,25,24.2,26.5,25.1,28.8,23.1,24.5,29.8,26.2,26.2,24.2,24.2,24.4,20.8,24.3,26.7,25.9,25,28.6,25.6,25.2,21.5,23.3,24.8,24,23.5,28.4,20.7,25.5,30.2,24.8
 農林漁家世帯の割合(％),1.3,...,0.7,0,0.3,2.1,4.2,0,2.1,1,0.3,1.5,0.5,0.1,0.5,4.6,0,0.2,0.5,0,2.4,0,3.5,0,0,0,1.5,0.8,0,0,0,0,0,0
消費支出,283027,10000,286493,300867,286663,270055,264263,264188,266756,298385,285283,286932,276211,267588,275134,271173,206507,304255,287966,281348,283505,286698,246650,276258,280273,260696,308816,310692,310831,301064,288088,301340,294940,333072
食料,72866,10000,74032,78756,73662,69174,66554,64852,68320,77083,74738,72246,74988,69236,67386,65899,57816,79463,74081,76001,70874,69640,69216,71755,71418,69879,77619,75332,71154,76587,71405,78135,79280,86412
