一連番号,時間軸コード,階層コード,分類コード,用途分類,単位,全国,世帯数,大都市,中都市,小都市Ａ,小都市Ｂ・町村,北海道地方,東北地方,関東地方,北陸地方,東海地方,近畿地方,中国地方,四国地方,九州地方,沖縄地方,01100 札幌市,02201 青森市,03201 盛岡市,04100 仙台市,05201 秋田市,06201 山形市,07201 福島市,08201 水戸市,09201 宇都宮市,10201 前橋市,11100 さいたま市,12100 千葉市,13100 東京都区部,14100 横浜市,15100 新潟市,16201 富山市,17201 金沢市,18201 福井市,19201 甲府市,20201 長野市,21201 岐阜市,22100 静岡市,23100 名古屋市,24201 津市,25201 大津市,26100 京都市,27100 大阪市,28100 神戸市,29201 奈良市,30201 和歌山市,31201 鳥取市,32201 松江市,33100 岡山市,34100 広島市,35203 山口市,36201 徳島市,37201 高松市,38201 松山市,39201 高知市,40130 福岡市,41201 佐賀市,42201 長崎市,43100 熊本市,44201 大分市,45201 宮崎市,46201 鹿児島市,47201 那覇市,14130 川崎市,14150 相模原市,22130 浜松市,27140 堺市,40100 北九州市
1,2023000000,1,00000,世帯数分布(抽出率調整),"10,000分比",10000,...,2875,3186,2358,1582,419,666,3702,393,1191,1653,571,292,1004,109,158,22,22,83,25,19,22,22,41,27,108,80,707,307,61,32,34,20,15,31,32,56,179,22,29,109,198,120,30,30,14,16,55,94,15,19,34,40,26,119,18,34,58,40,33,48,24,120,58,63,67,74
2,2023000000,1,00000,集計世帯数,世帯,7259,...,2128,3747,941,442,260,753,1838,504,693,962,628,449,966,206,91,92,93,89,94,95,75,87,90,89,88,92,302,118,90,93,94,92,87,91,91,94,98,79,74,84,122,80,93,85,93,91,87,86,93,88,94,89,93,86,93,89,90,89,84,91,129,90,78,92,88,83
3,2023000000,1,00000,世帯人員,人,2.9,...,2.87,2.87,2.93,2.95,2.69,2.99,2.88,3.03,2.98,2.86,2.89,2.83,2.89,3.04,2.79,2.83,2.94,3.01,2.65,3.02,2.89,2.75,2.93,2.76,2.91,2.65,2.93,2.83,3,2.91,3.09,2.99,2.81,2.77,2.88,2.81,2.94,2.92,2.8,2.7,2.94,2.67,2.93,2.77,2.94,2.97,2.94,2.79,2.77,2.81,2.66,2.74,2.82,2.9,2.91,2.85,3.09,2.76,2.77,2.81,2.99,2.66,2.9,3.01,2.88,2.69
4,2023000000,2,00000,18歳未満人員,人,0.54,...,0.52,0.51,0.56,0.59,0.46,0.58,0.51,0.65,0.54,0.51,0.56,0.58,0.6,0.68,0.53,0.49,0.55,0.67,0.42,0.62,0.57,0.5,0.56,0.5,0.59,0.32,0.54,0.49,0.57,0.49,0.76,0.53,0.49,0.46,0.45,0.5,0.49,0.56,0.47,0.39,0.57,0.37,0.53,0.43,0.47,0.63,0.63,0.5,0.57,0.52,0.42,0.49,0.61,0.65,0.64,0.49,0.72,0.44,0.5,0.57,0.68,0.41,0.58,0.58,0.47,0.45
5,2023000000,2,00000,65歳以上人員,人,0.86,...,0.8,0.85,0.88,0.92,0.87,0.94,0.82,0.84,0.88,0.85,0.85,0.84,0.89,0.75,0.76,0.93,0.84,0.75,0.92,0.91,0.78,0.88,0.85,0.85,0.72,0.91,0.72,0.79,0.78,0.82,0.76,1.08,0.91,1.08,0.81,0.87,0.89,0.91,0.83,1.05,0.86,0.88,0.91,0.83,0.95,0.78,0.65,0.71,0.88,0.83,0.98,0.9,0.56,0.68,0.82,0.9,0.7,0.68,0.92,0.81,0.81,0.83,0.83,0.83,0.98,0.99
6,2023000000,3,00000,65歳以上人員のうち無職者人員,人,0.67,...,0.62,0.69,0.67,0.71,0.72,0.72,0.65,0.66,0.67,0.7,0.66,0.67,0.69,0.61,0.66,0.79,0.7,0.64,0.75,0.7,0.69,0.73,0.66,0.72,0.6,0.84,0.54,0.63,0.68,0.64,0.59,0.86,0.64,0.82,0.66,0.65,0.61,0.71,0.65,0.8,0.69,0.73,0.74,0.64,0.77,0.62,0.46,0.51,0.71,0.57,0.71,0.77,0.41,0.49,0.64,0.81,0.57,0.57,0.69,0.61,0.63,0.62,0.68,0.66,0.78,0.77
7,2023000000,1,00000,有業人員,人,1.34,...,1.34,1.29,1.35,1.4,1.17,1.39,1.35,1.47,1.4,1.26,1.36,1.28,1.31,1.35,1.24,1.2,1.31,1.34,1.09,1.43,1.24,1.19,1.35,1.23,1.39,1.08,1.43,1.27,1.42,1.43,1.44,1.3,1.35,1.24,1.45,1.38,1.47,1.38,1.21,1.22,1.26,1.19,1.19,1.21,1.46,1.46,1.46,1.41,1.22,1.41,1.34,1.09,1.45,1.32,1.25,1.2,1.39,1.39,1.28,1.22,1.31,1.29,1.2,1.47,1.27,1.22
8,2023000000,1,00000,世帯主の配偶者のうち女の有業率,％,41.2,...,39.7,39.4,43.2,44.8,34,43.8,41.6,46.8,41.9,36.8,45.4,39.9,43.9,36,34.5,37.1,43.7,42.3,33.9,42.7,37.5,39.8,39.3,38.2,46.8,25.2,42.4,35.7,47.4,45.6,47.1,37.7,42.1,36.5,46.7,44.6,43.8,48.6,32.4,38.2,32.5,31.4,35.4,30.7,42.9,47.9,50.3,48.4,45.1,39.9,44.8,31.2,41.4,40.3,36.9,36.2,46.8,42.1,41.5,37.8,37.5,40.3,35.6,47.1,33.1,35.5
9,2023000000,1,00000,世帯主の年齢,歳,60.2,...,60.1,60.2,60.4,60.3,60.7,60.9,60.1,58.8,60.3,60.6,59.8,59.6,60.4,58.3,58.1,60.8,59.1,58,61.6,59.5,60.1,61.2,59.7,60.2,58.4,63,59.5,60.9,58.8,58.2,58,63.8,61.5,64,59.8,61.3,60.5,60.8,59.9,63.7,60.5,62.2,61.4,62,61.2,56.8,57.2,59.1,60.2,59.4,61.8,60.6,55.7,58.4,58.6,61.9,57.6,58.1,62.1,59.4,59.4,60.3,60.4,59.7,62.1,62.4
10,2023000000,1,00000,持家率,％,86.7,...,82.1,85.7,90.6,91.4,81.5,87.6,86.3,90.6,93.5,86.8,86.1,88.8,81.7,70.5,73.2,90.9,80.9,79,93.6,82.9,84.3,87.3,84.7,79.2,90,86.7,80.8,89,90.3,91.5,89.8,96.3,84.9,91.6,94.1,89.6,89.6,96.9,88.8,85.8,75.4,84.8,93.2,85.4,87.3,82.9,82.6,72.2,82.9,80.5,87.2,90.6,77.5,70.8,78.2,73.8,73.2,79.7,76.3,68.5,55,75.8,86.3,89.4,90.9,80.1
11,2023000000,3,00000,平均畳数(持家),畳,39.4,...,36.6,39.2,40.8,42.1,40.7,43,37.6,47,42.8,37.3,40.3,40.9,38.4,32.6,41.1,43.5,40.4,40.6,42.7,45.7,42.4,39.1,40.4,36.3,34.9,33.8,34.3,35.2,41.6,46.7,40.7,49.2,39,43.1,46.3,40.5,41.6,39.3,40.7,37.6,34.2,32.9,40,39.9,42,40.9,38.7,39.4,38.3,41.5,41.8,38.7,37.2,38.3,39.6,38.2,39.5,41.9,35.4,35.3,35.2,35.8,35.5,42,37.8,35.7
12,2023000000,2,00000,持家のうち住宅ローンを支払っている世帯の割合,％,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
13,2023000000,3,00000,平均畳数(持家のうち住宅ローンを支払っている世帯),畳,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
14,2023000000,1,00000,家賃・地代を支払っている世帯の割合,％,11.9,...,15.7,13.1,8.2,7.9,18.1,11.9,12,8.3,6.1,12.2,12.3,10,15.4,25.9,25.7,9.1,19.1,18,7,16.1,17.2,12,14.3,18.7,8.7,10.7,17,8.9,8.1,8.4,11.3,4.2,12.9,9,7.6,11.1,7.1,2.9,11.1,13.5,23.7,13.7,6.9,12.6,11.5,15,13.5,25,15.9,18.6,12.1,6.1,20.1,23.4,21.2,24.1,22.2,18.7,18.8,30.8,37.6,21.8,11.7,9.1,8.1,16.1
15,2023000000,3,00000,平均畳数(家賃・地代を支払っている世帯),畳,24.9,...,24.7,25,25.7,24,26.9,24.6,23.7,24.2,29.1,25.3,23.6,27.2,25.5,23.4,27.1,27.1,26.3,25.4,31.2,23,25.3,23.3,24.7,23.4,26,21.2,23.7,25.7,26.4,24.9,26.3,22.6,22.2,28.4,27.8,26.2,32.1,27,25.5,26.4,23.3,24.7,29,23.6,23.3,23.8,25.2,24.2,24.5,27.4,24.8,25.2,22.4,26.9,24.7,26.1,24,29.7,22.2,23.2,22.4,21.1,22.9,24.8,24.6,24.9
16,2023000000,3,00000,消費支出,円,293997,10000,312593,294015,286867,270794,279420,279156,311094,310500,282324,295055,278789,279001,272990,224987,296888,263371,298536,305541,272086,322992,307186,307817,325226,283599,344092,306943,341320,306565,301215,327503,306536,276690,297715,313991,320779,300652,300221,332663,305586,314636,271246,279880,313833,259437,272599,294837,300973,305373,286970,301013,286800,223423,294877,309000,274861,262243,294537,304631,257997,279132,251222,321247,314800,296228,328784,295759
17,2023000000,4,1,食料,円,81738,10000,87963,81082,79713,74764,72381,77457,87081,82033,80468,83108,77095,73324,74302,69613,74341,77899,81997,83835,78124,84105,78984,75270,87797,76203,93279,89043,97776,87320,82712,86794,86611,75825,78204,79401,76644,85135,88312,81408,83265,85900,85042,85960,85274,74738,73150,76446,81556,83473,76261,74957,77148,71088,80091,80319,74932,76604,79939,74200,73243,74045,73453,87352,86724,84306,86030,77435
18,2023000000,5,1.1,穀類,円,6551,9966,6801,6618,6509,6028,6404,6082,6633,6789,6750,6876,6449,6050,6019,6048,6444,6441,6618,6756,5782,6537,6520,5651,6416,6592,6983,6861,6972,6279,7121,6997,7090,6167,6355,6845,6303,6753,7036,6308,6976,6798,7362,7086,7106,7113,5980,6218,6289,6756,6006,6008,6127,6088,6088,6325,6044,7030,6006,5609,5657,6258,5975,6534,7042,7271,7015,6538
19,2023000000,6,1.1.1,米,円,1632,4649,1669,1670,1602,1532,1963,1557,1611,1715,1744,1649,1549,1390,1515,1917,1988,1645,1765,1639,1456,1820,2042,1271,1416,1859,1754,1685,1560,1483,1989,1732,1614,1737,1654,1952,1529,2101,1730,1371,1542,1574,1844,1664,1732,1963,1389,1423,1251,1441,1396,1404,1216,1467,1449,1538,1659,2015,1693,1431,1542,1792,1786,1579,1957,2195,1809,1793
20,2023000000,6,1.1.2,パン,円,2784,9727,2975,2796,2774,2426,2347,2230,2836,2817,2823,3133,2802,2681,2577,2280,2415,2358,2533,2732,2110,2197,2271,2347,2676,2701,3082,3040,3194,2747,2887,2793,3191,2621,2505,2620,2705,2617,2908,2792,3220,3170,3185,3378,3028,3222,2523,2594,2973,3180,2585,2704,2815,2602,2643,2898,2527,2947,2402,2368,2393,2559,2362,2771,2911,2955,3010,2741
21,2023000000,6,1.1.3,麺類,円,1664,9529,1660,1679,1667,1639,1665,1894,1693,1796,1675,1612,1632,1554,1507,1392,1614,2067,1947,1869,1845,2070,1836,1606,1741,1624,1633,1621,1680,1583,1814,1956,1738,1370,1759,1762,1580,1578,1803,1592,1689,1573,1888,1564,1786,1489,1610,1716,1604,1648,1581,1402,1677,1588,1632,1430,1452,1633,1466,1396,1363,1502,1357,1682,1670,1639,1680,1515
22,2023000000,6,1.1.4,他の穀類,円,472,5847,497,473,466,430,428,401,493,461,508,482,467,425,421,460,427,371,373,516,370,449,371,427,583,409,514,515,538,466,431,516,547,439,436,511,489,457,595,553,524,482,445,480,559,438,458,485,460,487,444,499,419,431,364,460,406,435,446,414,358,404,470,502,503,482,516,489
23,2023000000,5,1.2,魚介類,円,5996,9830,6186,5875,6027,5848,6068,6414,6110,6125,6114,6311,5549,5411,5237,3660,6086,7175,6095,5872,6662,6252,5727,5567,6294,5280,5728,6588,6618,6190,6032,6532,6011,5512,6159,6028,5214,6173,6539,6433,5509,6467,6441,6218,6106,5930,5686,5528,4921,5239,5297,5198,5724,5575,5735,4972,5106,5862,4904,5282,4811,4707,4119,5869,6206,6093,6703,6203
24,2023000000,6,1.2.1,生鮮魚介,円,3313,8869,3503,3234,3298,3151,3235,3309,3304,3335,3445,3635,3169,2939,3015,2076,3429,3767,3125,3072,3575,3002,2695,2866,3292,2678,3077,3585,3745,3546,2919,3612,3527,3023,2917,2796,2770,3302,3822,3810,2940,3797,3816,3674,3234,3469,3124,3028,2833,3082,2850,2806,3229,3190,3143,2829,2799,3280,2843,3020,2707,2728,2428,3131,3434,3258,3685,3844
