用   途   分   類,全   国,世 帯 数,全 都 市,人口五万以上の市,大 都 市,中 都 市,小都市Ａ,小都市Ｂ,町   村,北 海 道,東   北,関   東,北   陸,東   海,近   畿,中   国,四   国,九   州,沖   縄,京 浜 葉,中   京,京 阪 神,北九州･,札 幌 市,青 森 市,盛 岡 市,仙 台 市,秋 田 市,山 形 市,福 島 市,水 戸 市,宇都宮市,前 橋 市,さいたま市,千 葉 市,東京都区部,横 浜 市,川 崎 市,新 潟 市,富 山 市,金 沢 市,福 井 市,甲 府 市,長 野 市,岐 阜 市,静 岡 市,名古屋市,津   市,大 津 市,京 都 市,大 阪 市,神 戸 市,奈 良 市,和歌山市,鳥 取 市,松 江 市,岡 山 市,広 島 市,山 口 市,徳 島 市,高 松 市,松 山 市,高 知 市,北九州市,福 岡 市,佐 賀 市,長 崎 市,熊 本 市,大 分 市,宮 崎 市,鹿児島市,那 覇 市
 世帯数分布(抽出率調整)     ,10000,...,7973,7360,2268,3087,2006,612,2027,446,753,3440,428,1187,1620,631,329,1068,99,2773,769,1381,353,140,25,23,79,26,20,23,20,35,23,84,73,626,282,100,41,26,35,19,16,29,33,39,179,14,22,109,198,119,29,31,12,12,50,93,11,21,26,38,26,85,101,13,35,52,35,25,45,23
 集計世帯数        ,7912,...,7356,6885,1788,4061,1036,471,555,294,803,2015,533,732,1069,667,472,1059,267,1366,426,882,270,94,94,95,94,96,94,95,94,95,95,95,95,397,142,95,94,95,95,96,94,94,95,95,129,93,95,95,181,91,95,95,92,95,91,94,95,94,96,95,94,94,94,94,95,94,93,95,94,164
 世帯人員 (人)          ,3.22,...,3.16,3.15,3.05,3.17,3.23,3.29,3.45,2.96,3.49,3.17,3.5,3.37,3.15,3.2,3.14,3.16,3.37,3.15,3.35,3.15,3.12,3.09,3.33,3.23,3.22,3.03,3.46,3.26,3.08,2.99,3.12,3.19,3.12,3.02,2.99,3.07,3.19,3.43,3.42,3.36,3.14,3.24,3.25,3.29,3.08,3.03,3.34,3.08,3.04,2.99,3.21,2.99,3.42,3.19,3.01,3.02,2.99,3.09,3.03,3.03,2.98,2.9,3.13,3.12,2.95,3.14,3.21,2.92,3.01,3.37
　18歳未満人員 (人),0.68,...,0.68,0.68,0.6,0.7,0.72,0.7,0.69,0.64,0.73,0.65,0.8,0.71,0.67,0.67,0.72,0.67,0.87,0.63,0.69,0.68,0.65,0.69,0.85,0.68,0.85,0.62,0.77,0.72,0.73,0.6,0.7,0.78,0.61,0.57,0.56,0.64,0.79,0.71,0.81,0.7,0.63,0.72,0.67,0.82,0.56,0.54,0.78,0.55,0.59,0.52,0.79,0.57,0.77,0.86,0.7,0.71,0.72,0.66,0.67,0.79,0.77,0.49,0.66,0.79,0.57,0.67,0.84,0.67,0.78,0.9
　65歳以上人員 (人),0.59,...,0.55,0.54,0.57,0.54,0.52,0.68,0.75,0.55,0.74,0.56,0.63,0.57,0.57,0.67,0.59,0.62,0.52,0.54,0.54,0.54,0.6,0.46,0.55,0.63,0.49,0.6,0.67,0.7,0.56,0.61,0.66,0.47,0.55,0.6,0.47,0.5,0.57,0.7,0.54,0.59,0.61,0.63,0.63,0.49,0.67,0.67,0.46,0.75,0.52,0.63,0.42,0.62,0.73,0.42,0.58,0.58,0.46,0.63,0.66,0.51,0.41,0.65,0.6,0.53,0.67,0.64,0.38,0.53,0.5,0.46
　 うち無職者人員 (人),0.47,...,0.44,0.44,0.45,0.45,0.4,0.52,0.6,0.46,0.6,0.43,0.51,0.45,0.47,0.52,0.42,0.52,0.43,0.42,0.44,0.45,0.48,0.38,0.42,0.55,0.4,0.53,0.49,0.54,0.49,0.52,0.54,0.38,0.45,0.43,0.38,0.44,0.51,0.57,0.4,0.48,0.44,0.43,0.48,0.36,0.54,0.56,0.39,0.62,0.41,0.51,0.38,0.47,0.53,0.34,0.52,0.44,0.35,0.49,0.53,0.45,0.31,0.55,0.5,0.41,0.62,0.53,0.31,0.45,0.42,0.41
 有業人員 (人)          ,1.44,...,1.39,1.37,1.31,1.35,1.48,1.53,1.65,1.21,1.58,1.42,1.7,1.64,1.3,1.43,1.5,1.36,1.37,1.39,1.62,1.29,1.22,1.27,1.43,1.3,1.2,1.21,1.68,1.45,1.31,1.21,1.27,1.32,1.3,1.38,1.34,1.28,1.31,1.69,1.63,1.62,1.58,1.59,1.61,1.5,1.35,1.34,1.46,1.21,1.35,1.18,1.17,1.3,1.67,1.46,1.14,1.29,1.39,1.33,1.24,1.14,1.45,1.09,1.16,1.34,1.08,1.27,1.4,1.2,1.12,1.35
 世帯主の配偶者のうち女の有業率(％),35.5,...,33.2,32.6,28.4,32,38.1,41.4,44.2,30,39.7,32.8,44.4,45.2,29,37.7,43.3,35.8,26.3,30.9,44.3,27.6,26.2,27.4,33,29,20.5,27.9,40.7,41.3,34,28,31.6,23.9,25.1,30.4,29.5,25.9,30.9,46,40.6,43.7,45.5,44.4,48.7,38.4,32.5,33.3,34.5,28.6,30.3,23.4,21.3,32.6,44.8,37.6,26.7,34.4,39.1,32.7,27.5,22.5,43.6,23.2,23.2,32.7,25,30.7,37.2,28.3,26.8,27.2
 世帯主の年齢 (歳)       ,54,...,53.7,53.6,54.5,53.3,52.9,54.9,55.4,54.2,55,53.9,53.2,53.2,54,55.1,53.5,54.7,51.8,53.8,53.4,53.6,55.1,51.7,53.7,55.2,50.2,55.9,53.4,55.8,52.5,53.7,53.8,51.2,55.8,54.9,53.8,50.7,53.1,54.5,51.8,53.7,55.2,55.1,54.4,52.3,56.6,55.3,51.6,58,54.3,57.2,51.3,55.7,55.8,50.3,53.5,54.1,51.7,54.2,54.5,52.4,51.2,57.6,54.2,53,57.5,55.6,48.9,53.3,52.7,51.5
 持家率(％),77.1,...,74.5,73.7,70.1,75.1,75.5,85.1,87.4,70.9,83,76.1,81.6,81.7,76.8,76.6,78.2,73.9,61.1,75.6,83.1,74.1,71.1,66.9,68.8,75.7,55.1,84.2,72.2,78.3,63.9,78.7,79.1,72.3,81.8,65.2,76.5,65.7,73.6,91.7,78.2,88.9,79,78,79,71.3,70.2,86.2,86.6,83.2,71,76.9,65.2,87.4,75.7,55.1,60.7,64.6,63.7,72.3,75,67.4,59.2,82.7,63.2,59.6,74.8,63.1,60.5,63.6,56.9,59.9
