用   途   分   類,全   国,世 帯 数,大 都 市,中 都 市,小都市Ａ,小都市Ｂ,北 海 道,東   北,関   東,北   陸,東   海,近   畿,中   国,四   国,九   州,沖   縄,札 幌 市,青 森 市,盛 岡 市,仙 台 市,秋 田 市,山 形 市,福 島 市,水 戸 市,宇都宮市,前 橋 市,さいたま市,千 葉 市,東京都区部,横 浜 市,新 潟 市,富 山 市,金 沢 市,福 井 市,甲 府 市,長 野 市,岐 阜 市,静 岡 市,名古屋市,津   市,大 津 市,京 都 市,大 阪 市,神 戸 市,奈 良 市,和歌山市,鳥 取 市,松 江 市,岡 山 市,広 島 市,山 口 市,徳 島 市,高 松 市,松 山 市,高 知 市,福 岡 市,佐 賀 市,長 崎 市,熊 本 市,大 分 市,宮 崎 市,鹿児島市,那 覇 市,川 崎 市,相模原市,浜 松 市,堺   市,北九州市
 世帯数分布(抽出率調整),10000,...,2858,3150,2465,1527,430,676,3678,392,1189,1637,585,297,1008,107,157,23,23,81,25,19,22,22,42,27,103,81,693,304,60,32,35,20,15,31,32,57,177,23,28,113,203,124,30,30,15,16,55,95,16,19,33,39,26,112,18,35,58,39,33,48,24,116,59,63,69,78
 集計世帯数,7638,...,2233,3953,1000,452,280,776,1992,518,711,1004,641,462,1007,248,94,94,94,91,95,95,92,92,93,92,91,93,355,127,92,94,95,95,93,93,93,95,105,90,94,90,126,82,95,92,94,93,91,89,94,92,95,92,93,90,95,93,87,93,92,93,150,93,78,85,91,89
 世帯人員(人),2.98,...,2.97,2.95,3,3.01,2.78,3.12,2.94,3.16,3.06,2.95,2.97,2.9,2.97,3.12,2.99,3.01,3.09,3.02,2.9,3.03,2.94,2.96,2.87,2.73,3.06,3.11,2.95,2.8,3.1,3.2,3.3,3.17,2.88,3.01,3.16,3.09,3.11,2.91,2.86,2.85,3.05,2.84,2.84,2.72,3.3,2.96,3.04,2.99,3.06,2.95,3.07,2.89,3.07,2.87,2.94,2.72,2.99,2.79,2.84,2.88,3.01,3.12,2.99,2.99,3.06,2.76
　18歳未満人員(人),0.56,...,0.56,0.56,0.56,0.56,0.51,0.55,0.51,0.64,0.64,0.53,0.61,0.62,0.61,0.76,0.67,0.57,0.62,0.52,0.56,0.57,0.55,0.65,0.61,0.47,0.6,0.63,0.51,0.41,0.59,0.65,0.73,0.63,0.45,0.54,0.61,0.64,0.71,0.57,0.48,0.4,0.53,0.49,0.49,0.37,0.81,0.78,0.7,0.59,0.72,0.51,0.72,0.64,0.71,0.57,0.64,0.36,0.68,0.52,0.61,0.64,0.7,0.73,0.54,0.66,0.63,0.48
　65歳以上人員(人),0.83,...,0.81,0.83,0.84,0.89,0.88,0.97,0.82,0.85,0.77,0.87,0.85,0.76,0.82,0.73,0.75,0.85,0.79,0.93,0.81,0.78,0.97,0.7,0.87,0.95,0.75,0.81,0.76,0.96,0.85,0.87,0.7,0.92,0.93,0.88,0.84,0.88,0.72,0.88,0.99,0.95,0.79,0.79,0.97,0.98,0.79,0.68,0.7,0.83,0.64,0.83,0.8,0.76,0.64,0.75,0.8,1.06,0.66,0.87,0.82,0.8,0.74,0.63,0.91,0.76,0.95,0.98
　 うち無職者人員(人),0.66,...,0.63,0.67,0.66,0.67,0.73,0.78,0.64,0.64,0.6,0.7,0.68,0.59,0.65,0.61,0.62,0.67,0.66,0.78,0.68,0.59,0.73,0.55,0.67,0.78,0.6,0.73,0.54,0.81,0.69,0.65,0.47,0.67,0.68,0.7,0.62,0.66,0.54,0.72,0.82,0.75,0.58,0.66,0.87,0.8,0.66,0.51,0.54,0.68,0.51,0.58,0.67,0.64,0.47,0.57,0.59,0.89,0.52,0.7,0.67,0.64,0.61,0.51,0.73,0.6,0.78,0.87
 有業人員(人),1.35,...,1.33,1.29,1.39,1.46,1.15,1.47,1.35,1.57,1.45,1.26,1.29,1.32,1.35,1.28,1.28,1.33,1.45,1.26,1.22,1.55,1.22,1.33,1.19,1.21,1.4,1.22,1.42,1.1,1.49,1.6,1.67,1.5,1.43,1.47,1.57,1.41,1.51,1.29,1.14,1.29,1.4,1.19,0.98,1.11,1.54,1.38,1.37,1.26,1.52,1.44,1.39,1.08,1.5,1.3,1.32,1.11,1.33,1.19,1.27,1.26,1.16,1.43,1.35,1.38,1.19,1.09
 世帯主の配偶者のうち女の有業率(％),38.6,...,36,36.8,41.4,42.9,31.7,39.3,37.8,50.5,43.9,34.5,38.6,38.9,40.4,34,38.4,32.9,40.9,28.1,32.1,48.9,33.3,36.6,37.3,35.9,41.9,34.7,38.4,23.7,44.3,45.3,47.6,41,40.1,42.4,44,40.5,44.6,40.4,30.3,36.7,36.4,30.2,20.8,23.7,45.3,45.3,40.4,34.8,47.1,37.9,42.6,25.3,46,33.8,34.8,28.7,42.1,37.6,41.5,41.6,28.9,36.6,37.9,45.7,30.5,28.9
 世帯主の年齢(歳),59.3,...,59.1,59.1,59.5,59.8,60.2,60.5,59.6,58.3,58,59.9,59.2,58,58.6,57.1,58.2,60.1,58.9,59.7,59.7,57.5,61.5,57.9,59.3,60.6,58.7,60.3,59,61.3,59.7,56.7,56.3,60.5,61.2,60.2,59.6,59.5,56.3,60.3,61.7,62.7,59.7,59.6,61.7,63.3,57.9,57.5,57.3,58.7,56.7,59.7,59.1,58.2,55.8,57.1,59,63.5,55.3,59.7,59.7,59.3,59,54.6,61,57.8,59.9,62.7
 持家率(％),84.6,...,81.6,85,86,87.2,77.6,86.2,86.3,91.2,87.7,85.6,81.8,80.9,77.8,61.9,74.4,85.9,84.4,85.1,85.6,78.8,91.6,84.9,87.8,88.6,89.4,92.4,80.2,80.9,92,88.4,87.3,89.9,85.4,84.7,85.4,84.9,86.3,94.5,91,88.6,83.6,82.6,92,84.3,86.7,80.9,75.2,75.7,80.7,85.9,87.5,83.1,71.8,71.1,78.3,83.3,63.9,81.7,79.9,72.9,55.8,70.9,86.6,91.1,90.2,86.3
