用途分類,全   国,世 帯 数,大 都 市,中 都 市,小都市Ａ,小都市Ｂ,北 海 道,東   北,関   東,北   陸,東   海,近   畿,中   国,四   国,九   州,沖   縄,札 幌 市,青 森 市,盛 岡 市,仙 台 市,秋 田 市,山 形 市,福 島 市,水 戸 市,宇都宮市,前 橋 市,さいたま市,千 葉 市,東京都区部,横 浜 市,新 潟 市,富 山 市,金 沢 市,福 井 市,甲 府 市,長 野 市,岐 阜 市,静 岡 市,名古屋市,津   市,大 津 市,京 都 市,大 阪 市,神 戸 市,奈 良 市,和歌山市,鳥 取 市,松 江 市,岡 山 市,広 島 市,山 口 市,徳 島 市,高 松 市,松 山 市,高 知 市,福 岡 市,佐 賀 市,長 崎 市,熊 本 市,大 分 市,宮 崎 市,鹿児島市,那 覇 市,川 崎 市,相模原市,浜 松 市,堺   市,北九州市
 世帯数分布(抽出率調整),10000,...,2848,3155,2459,1538,430,676,3692,391,1183,1642,578,294,1005,108,154,22,23,81,25,20,23,22,42,27,104,81,692,307,61,32,34,19,15,31,32,57,174,23,28,112,203,124,31,30,15,15,55,94,15,19,33,39,26,109,18,34,56,38,32,47,24,116,59,63,69,76
 集計世帯数,7522,...,2188,3892,987,455,280,776,1941,517,714,972,632,456,1008,226,93,94,95,91,95,94,94,87,87,93,90,92,349,122,92,93,96,95,92,91,93,96,102,88,92,86,128,68,95,91,93,92,89,88,94,92,95,90,92,90,94,92,89,93,92,92,136,87,69,92,90,87
 世帯人員(人),2.97,...,2.92,2.95,2.99,3.04,2.77,3.12,2.93,3.16,3.05,2.94,2.96,2.9,2.95,3.12,2.91,2.85,3.21,3.04,2.8,3.23,3.04,2.87,2.91,2.83,3.05,2.95,2.92,2.79,3.29,3.12,3.24,3.1,2.8,2.87,3.04,2.95,2.86,2.98,3.03,2.86,2.91,2.91,2.95,2.82,3.17,2.82,3.15,3.03,3.12,2.89,2.92,2.88,3.01,2.94,2.87,2.66,3.12,2.79,2.88,2.78,2.85,2.94,2.91,3.1,2.84,2.64
　18歳未満人員(人),0.58,...,0.56,0.6,0.57,0.6,0.59,0.59,0.53,0.67,0.62,0.57,0.65,0.6,0.63,0.75,0.68,0.49,0.69,0.57,0.47,0.69,0.5,0.62,0.59,0.45,0.62,0.59,0.51,0.41,0.82,0.71,0.85,0.61,0.49,0.39,0.62,0.55,0.5,0.55,0.58,0.53,0.52,0.58,0.55,0.48,0.69,0.52,0.77,0.78,0.83,0.54,0.67,0.71,0.68,0.7,0.59,0.29,0.73,0.54,0.63,0.57,0.6,0.58,0.49,0.72,0.44,0.38
　65歳以上人員(人),0.82,...,0.82,0.8,0.83,0.86,0.81,0.92,0.81,0.81,0.79,0.86,0.75,0.83,0.87,0.77,0.74,0.92,0.85,0.89,0.85,0.9,1.04,0.77,0.84,0.85,0.71,0.74,0.83,0.87,0.77,0.77,0.69,0.91,0.84,0.95,0.8,0.89,0.87,0.83,0.84,0.97,0.84,0.7,0.88,0.91,0.77,0.88,0.61,0.78,0.69,0.8,0.78,0.69,0.73,0.72,0.67,1.05,0.76,0.89,0.79,0.83,0.77,0.62,1.05,0.8,1,1.19
　 うち無職者人員(人),0.66,...,0.65,0.65,0.66,0.68,0.69,0.75,0.63,0.61,0.64,0.69,0.61,0.67,0.7,0.66,0.61,0.81,0.7,0.76,0.69,0.64,0.78,0.62,0.67,0.71,0.61,0.67,0.61,0.69,0.6,0.58,0.52,0.67,0.64,0.76,0.66,0.69,0.67,0.68,0.68,0.79,0.64,0.58,0.8,0.76,0.62,0.65,0.47,0.67,0.51,0.58,0.62,0.58,0.57,0.58,0.51,0.89,0.6,0.73,0.61,0.65,0.64,0.46,0.89,0.63,0.84,0.98
 有業人員(人),1.34,...,1.3,1.29,1.38,1.46,1.16,1.45,1.34,1.58,1.43,1.26,1.34,1.3,1.29,1.3,1.25,1.16,1.47,1.3,1.22,1.55,1.39,1.27,1.24,1.32,1.35,1.29,1.35,1.21,1.52,1.56,1.46,1.47,1.41,1.49,1.44,1.39,1.29,1.36,1.3,1.21,1.33,1.33,1.15,1.09,1.54,1.32,1.49,1.26,1.45,1.41,1.37,1.2,1.41,1.25,1.38,1.11,1.39,1.19,1.34,1.15,1.17,1.47,1.17,1.43,1.13,0.96
 世帯主の配偶者のうち女の有業率(％),38.7,...,36.3,35.7,40.9,45.8,35.5,40,37.4,48.3,43.7,35.7,40.9,40.9,38.7,29.3,35.4,31.1,44.3,31.4,33.4,40.2,39.9,35.4,35.5,41,39.6,38.7,35.7,31.2,49.8,47.1,45.7,43.5,47.8,46.9,44.7,42.3,33.6,44.3,36.3,34.9,34.5,42.7,26.7,28.3,51,40.6,47.4,39,46.2,43.4,46.7,35.7,38.5,37.1,41.7,28.6,41.7,36.8,46.3,32.6,29.6,40.8,30.7,48.6,28.6,27.4
 世帯主の年齢(歳),59.4,...,59.8,58.8,59.8,59.2,58.6,60.1,59.8,57.8,58.6,60,58.1,58,59.8,57.8,57.2,61.6,58.3,60.2,61.5,59.2,63.5,58,59.6,60.3,57.8,58.5,61,61.1,56.9,56.4,55.9,60.1,59.6,62.3,58.7,61,59.8,61.1,59.9,61.7,59.6,58.9,60.1,60.7,57.5,60.4,55.5,57.7,55.9,58.2,57.7,56.8,56.8,57.1,57.5,65.9,57.4,60.3,58.3,60.5,59.2,56.2,63.2,57.6,62.3,66.1
 持家率(％),85.1,...,81.5,83.3,89.2,88.8,77.4,85.3,85.3,89.4,90.8,87.5,79.9,85.4,80,67.6,76.5,83.8,83.1,84.1,90.3,78.1,92.8,81.9,83,86.5,92.7,87.7,77.8,83.1,92.6,89,83.5,87,82.4,83.6,87.5,89.3,82.5,89.1,92.2,88.5,80.7,83,80.4,84.5,85.3,76.3,68.3,73.3,83.8,82,78.5,83.8,73.7,72.1,77.7,88.5,77.1,77.1,74.7,81,55.6,78.5,85.7,89.3,94.1,87.2
　  平均畳数,39.2,...,36.3,38.5,41.4,41.9,41.4,45.2,36.8,47.3,43.4,37.8,39,39.4,37.1,33.3,39.8,44.6,40.1,39.6,41.1,47.1,45.3,40.8,41.2,37.8,36.4,33.2,33,35.2,45.6,46.7,45.6,43.1,39,48,45.3,40.6,42,37.9,42.2,36.4,35.3,33.5,39.2,37,43,39.6,40.1,40.2,41.4,40.5,42.3,36,35.4,35.5,43.5,35.3,39.3,39.6,33.3,33,35.7,33.5,34.5,42.2,36.4,36
