一連番号,時間軸コード,階層コード,分類コード,用途分類,単位,全国,世帯数,大都市,中都市,小都市Ａ,小都市Ｂ・町村,北海道地方,東北地方,関東地方,北陸地方,東海地方,近畿地方,中国地方,四国地方,九州地方,沖縄地方,01100 札幌市,02201 青森市,03201 盛岡市,04100 仙台市,05201 秋田市,06201 山形市,07201 福島市,08201 水戸市,09201 宇都宮市,10201 前橋市,11100 さいたま市,12100 千葉市,13100 東京都区部,14100 横浜市,15100 新潟市,16201 富山市,17201 金沢市,18201 福井市,19201 甲府市,20201 長野市,21201 岐阜市,22100 静岡市,23100 名古屋市,24201 津市,25201 大津市,26100 京都市,27100 大阪市,28100 神戸市,29201 奈良市,30201 和歌山市,31201 鳥取市,32201 松江市,33100 岡山市,34100 広島市,35203 山口市,36201 徳島市,37201 高松市,38201 松山市,39201 高知市,40130 福岡市,41201 佐賀市,42201 長崎市,43100 熊本市,44201 大分市,45201 宮崎市,46201 鹿児島市,47201 那覇市,14130 川崎市,14150 相模原市,22130 浜松市,27140 堺市,40100 北九州市
1,2024000000,1,00000,世帯数分布(抽出率調整),"10,000分比",10000,...,2888,3190,2360,1562,413,654,3724,398,1187,1669,566,289,992,108,155,22,22,81,25,19,22,22,41,27,110,79,715,307,69,36,39,22,15,31,32,57,179,22,29,111,202,121,30,30,14,16,55,93,15,19,33,40,25,114,18,33,57,39,32,47,23,119,59,63,68,74
2,2024000000,1,00000,集計世帯数,世帯,7237,...,2122,3749,937,429,262,759,1813,486,693,972,624,444,966,217,92,92,94,90,94,94,82,89,90,85,84,86,302,123,93,91,94,93,90,88,93,94,97,82,85,88,123,81,90,83,94,85,87,88,92,88,94,88,92,83,93,86,90,88,79,90,138,89,71,91,87,84
3,2024000000,1,00000,世帯人員,人,2.88,...,2.89,2.85,2.9,2.92,2.7,2.96,2.88,2.98,2.95,2.85,2.89,2.81,2.88,3.02,2.72,2.8,2.85,2.88,2.52,3.05,2.8,2.8,2.79,2.74,3.02,2.84,2.91,2.89,2.95,2.96,3.02,2.9,2.83,2.87,3.04,2.94,3.01,2.89,2.82,2.75,2.99,2.68,2.84,2.61,3.1,3,3.07,2.85,2.79,2.97,2.74,2.88,2.94,2.84,2.93,2.7,2.87,2.87,2.8,2.83,2.88,2.9,2.78,3,2.85,2.84
4,2024000000,2,00000,18歳未満人員,人,0.54,...,0.54,0.53,0.55,0.52,0.5,0.53,0.52,0.56,0.56,0.54,0.56,0.5,0.55,0.72,0.47,0.5,0.53,0.64,0.31,0.66,0.48,0.55,0.53,0.45,0.63,0.55,0.51,0.53,0.53,0.59,0.72,0.47,0.53,0.49,0.58,0.6,0.56,0.6,0.53,0.43,0.67,0.37,0.5,0.35,0.64,0.66,0.72,0.56,0.51,0.59,0.46,0.6,0.66,0.63,0.6,0.39,0.54,0.6,0.56,0.67,0.61,0.53,0.45,0.59,0.46,0.52
5,2024000000,2,00000,65歳以上人員,人,0.85,...,0.79,0.83,0.89,0.98,0.88,1,0.82,0.87,0.82,0.85,0.86,0.97,0.9,0.76,0.78,0.98,0.84,0.71,1,0.95,0.97,0.8,0.85,0.88,0.64,0.77,0.72,0.86,0.87,0.88,0.66,0.93,0.79,0.9,0.84,0.9,0.77,0.85,0.77,0.81,0.69,1.09,0.95,1.01,0.86,0.9,0.71,0.84,0.81,0.76,0.95,0.82,0.62,0.83,0.86,0.95,0.78,0.62,0.89,0.63,0.83,0.76,0.86,0.8,0.99,0.88
6,2024000000,3,00000,65歳以上人員のうち無職者人員,人,0.67,...,0.62,0.67,0.69,0.75,0.7,0.76,0.65,0.66,0.64,0.68,0.68,0.71,0.69,0.59,0.62,0.83,0.71,0.62,0.83,0.72,0.74,0.66,0.64,0.69,0.49,0.66,0.54,0.7,0.71,0.66,0.49,0.74,0.59,0.73,0.67,0.66,0.61,0.68,0.61,0.63,0.55,0.88,0.79,0.78,0.69,0.66,0.49,0.69,0.62,0.61,0.73,0.64,0.46,0.67,0.6,0.75,0.57,0.5,0.72,0.53,0.64,0.58,0.75,0.54,0.83,0.69
7,2024000000,1,00000,有業人員,人,1.34,...,1.34,1.31,1.33,1.39,1.21,1.35,1.34,1.49,1.38,1.28,1.37,1.35,1.34,1.23,1.29,1.19,1.33,1.19,1.07,1.4,1.26,1.29,1.33,1.33,1.46,1.2,1.45,1.23,1.42,1.45,1.53,1.37,1.33,1.42,1.42,1.39,1.43,1.37,1.25,1.28,1.33,1.13,1.11,1.16,1.51,1.44,1.55,1.34,1.36,1.48,1.29,1.29,1.52,1.19,1.42,1.27,1.34,1.33,1.26,1.22,1.23,1.37,1.14,1.56,1.22,1.27
8,2024000000,1,00000,世帯主の配偶者のうち女の有業率,％,42.4,...,40.7,41.6,43.4,45.6,37.5,39.6,42.3,48.6,44.5,40.2,45.6,46.2,43.2,33.1,37.8,35.8,41.9,37.1,35.2,45.3,39.8,44.2,42.9,47,47.6,35.1,43,36.2,47,43.5,53.1,42.3,40.1,45.7,44.9,46.6,43.9,50.4,41.3,41.6,36.4,33,31.6,31.1,44.7,51.8,56.2,44.7,48.2,45,43.6,44.3,46.2,32.6,44.2,39.6,44,37.5,37.7,36,32.2,39.2,36.4,50.2,36.8,41
9,2024000000,1,00000,世帯主の年齢,歳,60.4,...,60,60.2,60.7,60.9,60.5,61.4,60.2,59.5,59.8,60.5,60.7,62,60.8,58.2,58.7,62.1,59.9,57,63.2,61,61.3,60.1,58.9,61.2,57.9,60,59.3,61.9,61,59.2,56.9,62.7,61.3,60.9,61.9,60.9,59.5,60.7,59.4,59.8,58.2,65.5,61.8,63.2,59.1,59.9,58.2,60.7,58.9,58,61.5,59.8,55.8,60.2,59.9,63.7,59.5,56,61.1,57.9,59.9,59.1,60.5,59.6,64,60.1
10,2024000000,1,00000,持家率,％,87.5,...,83.1,86.5,91,92.3,78,88.9,87.4,92,91.9,87.7,88.4,90.3,84.1,69.6,63.7,93.1,81.4,69.8,93.7,90.1,90.4,93.8,86.9,92.4,80.8,83.3,83.8,91.3,88.9,90.4,89,95,88.3,85.2,93.5,88.2,92.9,94.9,86.8,80.7,79.4,90.2,89.4,88.4,90.9,81.8,85.5,80.5,86.9,76.6,84.6,88.4,74.5,77,90.2,74.5,76.3,74.7,75.5,76.9,54.2,78.1,88.4,87.7,90.5,80.5
11,2024000000,3,00000,平均畳数(持家),畳,39.2,...,36.9,38.8,41,41.1,40.3,43.3,37.1,45.4,43,37.8,41.2,40.1,38,33.2,39.8,43.3,39.9,37.9,42.3,45,42.5,38.5,40.5,37.2,36.5,35.2,34.4,35.5,44.2,44.9,40.5,46.4,36.5,43.1,44.9,40.7,42,40,41,37.4,34.8,35.6,42.1,39.7,44.3,40.3,42.5,38.3,39.8,40.8,41.5,37.7,33.7,36.4,41.6,35.9,38.2,38.9,36,36,34.1,35.8,35.7,42.5,38.3,35.9
12,2024000000,2,00000,持家のうち住宅ローンを支払っている世帯の割合,％,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
13,2024000000,3,00000,平均畳数(持家のうち住宅ローンを支払っている世帯),畳,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
