単身世帯_支出金額[円],,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,,,,,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年
,階層,大分類,中分類,小分類,品目分類,(平成12年),(平成13年),(平成14年),(平成15年),(平成16年),(平成17年),(平成18年),(平成19年),(平成20年),(平成21年),(平成22年),(平成23年),(平成24年),(平成25年),(平成26年),(平成27年),(平成28年),(平成29年),(平成30年),(令和元年),(令和２年),(令和３年),(令和４年),(令和５年),(令和６年)
1,-,-,-,-,世帯数分布(抽出率調整),10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
2,-,-,-,-,集計世帯数,718,720,712,713,710,714,709,704,703,703,708,689,702,694,693,699,689,687,680,660,662,664,658,650,649
3,-,-,-,-,年齢(歳),50.8,51.2,51.7,52.3,52.5,54.1,54.5,55,55.5,55.5,56.8,57.3,57.6,58.1,58.4,58.9,58.6,58.6,59.3,59,58.5,58.1,58.3,58.2,58.7
4,-,-,-,-,有業者比率,0.64,0.62,0.61,0.61,0.61,0.58,0.56,0.56,0.56,0.54,0.52,0.52,0.52,0.52,0.51,0.52,0.53,0.52,0.51,0.54,0.55,0.56,0.55,0.56,0.57
5,-,-,-,-,持家率(％),41,41,41.5,44.6,44,47.3,47.1,49.1,50.2,50.4,53.3,51.9,55.5,56.5,55.1,56.6,56.4,56.7,57.8,59.3,59,56.1,57.1,57.4,60.1
6,-,-,-,-,家賃・地代を支払っている世帯の割合(％),51.5,52.2,51.1,47,48.1,45.3,45.1,43.7,45,44.4,41.3,42.1,39,38.1,40,37.6,37.7,37.3,36.6,35.7,35.9,37,37.7,37.3,34.5
7,1,-,-,-,消費支出,2179370,2118272,2096281,2061431,2091814,2128117,1964392,2029835,2059224,1952770,1944112,1930686,1877396,1929309,1944019,1920680,1906931,1939478,1953996,1965371,1806076,1860557,1941038,2011439,2034566
8,2,1,-,-,食料,568152,551597,554993,529167,540766,532079,507348,520767,536042,511321,505190,508997,506568,511044,521496,542443,535003,531681,528805,531153,496472,500773,519311,556693,578442
